D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_16_735.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_16_735.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_16_735.jpg,0,0,0,9.144389E-06
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_16_816.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_16_816.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_16_816.jpg,0,0,0,7.870705E-07
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_16_907.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_16_907.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_16_907.jpg,0,0,0,7.281133E-06
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_16_985.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_16_985.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_16_985.jpg,0,0,0,6.724605E-06
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_057.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_057.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_057.jpg,0,0,0,8.078994E-06
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_146.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_146.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_146.jpg,0,0,0,3.952669E-06
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_219.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_219.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_219.jpg,0,0,0,7.520864E-07
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_301.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_301.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_301.jpg,0,0,0,1.37573E-06
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_383.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_383.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_383.jpg,-0.2,0.0937119,0,0.06166055
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_469.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_469.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_469.jpg,-0.4,0.3348642,0,0.2745793
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_549.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_549.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_549.jpg,-0.6000001,0.5763579,0,0.7452702
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_628.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_628.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_628.jpg,0,0.8195913,0,1.47372
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_708.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_708.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_708.jpg,0,1,0,2.425362
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_788.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_788.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_788.jpg,0,1,0,3.36526
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_870.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_870.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_870.jpg,-0.1,1,0,4.304329
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_17_953.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_17_953.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_17_953.jpg,-0.3,1,0,5.222474
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_18_026.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_18_026.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_18_026.jpg,0,1,0,6.121464
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_18_109.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_18_109.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_18_109.jpg,0,1,0,7.036011
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_18_188.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_18_188.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_18_188.jpg,-0.2,1,0,7.938143
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_18_275.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_18_275.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_18_275.jpg,0,1,0,8.822056
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_18_349.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_18_349.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_18_349.jpg,-0.1,1,0,9.71559
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_18_437.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_18_437.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_18_437.jpg,0,1,0,10.81645
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_18_531.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_18_531.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_18_531.jpg,-0.15,1,0,11.52637
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_18_648.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_18_648.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_18_648.jpg,-0.45,1,0,12.7999
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_18_716.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_18_716.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_18_716.jpg,0,1,0,13.56476
D:\Behavioral-Cloning\dataset\IMG\center_2020_06_05_16_06_18_800.jpg,D:\Behavioral-Cloning\dataset\IMG\left_2020_06_05_16_06_18_800.jpg,D:\Behavioral-Cloning\dataset\IMG\right_2020_06_05_16_06_18_800.jpg,-0.2,0.9001825,0,14.54043
